state	|	left	|	right	|	up	|	down
------------------ coin_idx = 7 ----------------
 0	|	0.000	|	2.976	|	0.000	|	2.976
 1	|	1.974	|	3.978	|	0.000	|	3.978
 2	|	2.976	|	4.980	|	0.000	|	4.980
 3	|	3.978	|	5.983	|	0.000	|	5.983
 4	|	4.980	|	6.987	|	0.000	|	6.987
 5	|	5.983	|	7.991	|	0.000	|	7.991
 6	|	6.987	|	8.995	|	0.000	|	8.995
 7	|	7.991	|	7.991	|	0.000	|	10.000
 8	|	8.995	|	6.987	|	0.000	|	8.995
 9	|	7.991	|	0.000	|	0.000	|	7.991
 10	|	0.000	|	3.978	|	1.974	|	1.991
 11	|	2.976	|	4.980	|	2.976	|	2.993
 12	|	3.978	|	5.983	|	3.978	|	3.978
 13	|	4.980	|	6.987	|	4.980	|	4.980
 14	|	5.983	|	7.991	|	5.983	|	5.983
 15	|	6.987	|	8.995	|	6.987	|	6.987
 16	|	7.991	|	10.000	|	7.991	|	7.991
 17	|	0.000	|	0.000	|	0.000	|	0.000
 18	|	10.000	|	7.991	|	7.991	|	7.991
 19	|	8.995	|	0.000	|	6.987	|	6.987
 20	|	0.000	|	2.993	|	2.976	|	2.993
 21	|	1.991	|	3.978	|	3.978	|	3.995
 22	|	2.993	|	4.980	|	4.980	|	2.993
 23	|	3.978	|	5.983	|	5.983	|	3.978
 24	|	4.980	|	6.987	|	6.987	|	4.980
 25	|	5.983	|	7.991	|	7.991	|	5.983
 26	|	6.987	|	8.995	|	8.995	|	6.987
 27	|	7.991	|	7.991	|	10.000	|	7.991
 28	|	8.995	|	6.987	|	8.995	|	6.987
 29	|	7.991	|	0.000	|	7.991	|	5.983
 30	|	0.000	|	3.995	|	1.991	|	3.995
 31	|	2.993	|	2.993	|	2.993	|	4.997
 32	|	3.995	|	3.978	|	3.978	|	3.995
 33	|	2.993	|	4.980	|	4.980	|	2.993
 34	|	3.978	|	5.983	|	5.983	|	3.978
 35	|	4.980	|	6.987	|	6.987	|	4.980
 36	|	5.983	|	7.991	|	7.991	|	5.983
 37	|	6.987	|	6.987	|	8.995	|	6.987
 38	|	7.991	|	5.983	|	7.991	|	5.983
 39	|	6.987	|	0.000	|	6.987	|	4.980
 40	|	0.000	|	4.997	|	2.993	|	4.997
 41	|	3.995	|	3.995	|	3.995	|	6.000
 42	|	4.997	|	2.993	|	2.993	|	4.997
 43	|	3.995	|	3.978	|	3.978	|	3.995
 44	|	2.993	|	4.980	|	4.980	|	2.993
 45	|	3.978	|	5.983	|	5.983	|	-1.000
 46	|	4.980	|	6.987	|	6.987	|	4.980
 47	|	5.983	|	5.983	|	7.991	|	5.983
 48	|	6.987	|	4.980	|	6.987	|	5.988
 49	|	5.983	|	0.000	|	5.983	|	4.985
 50	|	0.000	|	6.000	|	3.995	|	3.995
 51	|	0.000	|	0.000	|	0.000	|	0.000
 52	|	6.000	|	3.995	|	3.995	|	3.995
 53	|	4.997	|	2.993	|	2.993	|	2.993
 54	|	3.995	|	-1.000	|	3.978	|	2.981
 55	|	0.000	|	0.000	|	0.000	|	0.000
 56	|	-1.000	|	5.983	|	5.983	|	4.985
 57	|	4.980	|	5.988	|	6.987	|	5.988
 58	|	5.983	|	4.985	|	5.983	|	6.992
 59	|	5.988	|	0.000	|	4.980	|	5.988
 60	|	0.000	|	4.997	|	4.997	|	2.993
 61	|	3.995	|	3.995	|	6.000	|	3.995
 62	|	4.997	|	2.993	|	4.997	|	2.993
 63	|	3.995	|	2.981	|	3.995	|	2.981
 64	|	2.993	|	3.983	|	2.993	|	3.983
 65	|	2.981	|	4.985	|	-1.000	|	4.985
 66	|	3.983	|	5.988	|	4.980	|	5.988
 67	|	4.985	|	6.992	|	5.983	|	6.992
 68	|	5.988	|	5.988	|	5.988	|	7.995
 69	|	6.992	|	0.000	|	4.985	|	6.992
 70	|	0.000	|	3.995	|	3.995	|	1.991
 71	|	2.993	|	2.993	|	4.997	|	1.979
 72	|	3.995	|	2.981	|	3.995	|	2.981
 73	|	2.993	|	3.983	|	2.993	|	3.983
 74	|	1.991	|	4.985	|	2.981	|	4.985
 75	|	3.983	|	5.988	|	3.983	|	5.988
 76	|	4.985	|	6.992	|	4.985	|	6.992
 77	|	5.988	|	7.995	|	5.988	|	7.995
 78	|	6.992	|	6.992	|	6.992	|	9.000
 79	|	7.995	|	0.000	|	5.988	|	7.995
 80	|	0.000	|	0.990	|	2.993	|	0.990
 81	|	-1.000	|	2.981	|	0.000	|	0.978
 82	|	1.979	|	3.983	|	2.993	|	1.979
 83	|	2.981	|	4.985	|	2.981	|	2.981
 84	|	3.983	|	5.988	|	3.983	|	3.983
 85	|	4.985	|	6.992	|	4.985	|	4.985
 86	|	5.988	|	7.995	|	5.988	|	5.988
 87	|	6.992	|	9.000	|	6.992	|	6.992
 88	|	0.000	|	0.000	|	0.000	|	0.000
 89	|	9.000	|	0.000	|	6.992	|	0.000
 90	|	0.000	|	-0.010	|	1.991	|	0.000
 91	|	0.990	|	-1.000	|	1.979	|	0.000
 92	|	-0.010	|	-1.000	|	2.981	|	0.000
 93	|	-1.000	|	3.983	|	3.983	|	0.000
 94	|	2.981	|	4.985	|	4.985	|	0.000
 95	|	3.983	|	5.988	|	5.988	|	0.000
 96	|	4.985	|	6.992	|	6.992	|	0.000
 97	|	5.988	|	7.995	|	7.995	|	0.000
 98	|	6.992	|	-1.000	|	9.000	|	0.000
 99	|	7.995	|	0.000	|	0.000	|	0.000
------------------ coin_idx = 6 ----------------
 0	|	0.000	|	0.990	|	0.000	|	0.990
 1	|	-0.010	|	-0.010	|	0.000	|	1.991
 2	|	0.990	|	-1.000	|	0.000	|	0.990
